information,label,specific_label
"
**STATE BANK OF INDIA - CREDIT CARD APPLICATION**
Application Reference: 4c8a2ffe-178c-41cd-9a1e-1c206ede307c
Branch Code: 536229


PERSONAL DETAILS
-----------------
Applicant Name: Jason Evans
Date of Birth: 1966-07-01
PAN Card Number: Q5790
Aadhaar Number: 381751768464
Mobile Number: (859)475-6452x4020
Email ID: margaret93@example.org

RESIDENCE DETAILS
----------------
Current Address: 723 Jeffrey Pike
Fisherton, PR 08959
City: Robertsfurt
PIN Code: 47316
Residence Status: Rented  # Owned/Rented/Company Provided

EMPLOYMENT DETAILS
-----------------
Occupation Type: Business  # Salaried/Self-Employed/Business
Company Name: West, Miller and Palmer
Annual Income: 797505
Years in Current Job: 15

BANK DETAILS
-----------
SBI Account Number: ZPDU38990961829119
Account Type: Current
Branch Name: South Laurachester
Account Opening Date: 2022-09-25

CARD PREFERENCES
---------------
Card Type Requested: Signature  # Simply Save/Elite/Prime/Signature
",bank,credit card details
"
**STATE BANK OF INDIA - CREDIT CARD APPLICATION**
Application Reference: 5a38724c-a1cb-4bda-bcf7-f3779b4d1dc8
Branch Code: 762697

PERSONAL DETAILS
-----------------
Applicant Name: Elizabeth Stokes
Date of Birth: 1961-04-22
PAN Card Number: V2962
Aadhaar Number: 448187677318
Mobile Number: 845-383-1772x515
Email ID: normanmaria@example.org

RESIDENCE DETAILS
----------------
Current Address: 305 Cody Junction
Michaelburgh, TX 38764
City: Stewartfort
PIN Code: 18603
Residence Status: Rented  # Owned/Rented/Company Provided

EMPLOYMENT DETAILS
-----------------
Occupation Type: Business  # Salaried/Self-Employed/Business
Company Name: Jackson, Garza and Abbott
Annual Income: 1188918
Years in Current Job: 18

BANK DETAILS
-----------
SBI Account Number: HDJP61333863652484
Account Type: Current
Branch Name: South Shawntown
Account Opening Date: 2024-01-17

CARD PREFERENCES
---------------
Card Type Requested: Signature  # Simply Save/Elite/Prime/Signature
",bank,credit card details
"
**HDFC BANK - CREDIT CARD APPLICATION**
Application ID: 

APPLICANT INFORMATION
--------------------
Full Name: 
Date of Birth: 1965-01-01
PAN Number: U2104
Aadhaar Number: 367658839394
Contact Details:
    Mobile: (638)361-8966
    Email: whiterhonda@example.net
    
RESIDENTIAL INFORMATION
----------------------
Address: 
City & PIN: 
Years at Current Address: 

PROFESSIONAL DETAILS
-------------------
Employment Type: 
Employer Name: 
Monthly Income: 
Office Address: 

BANKING RELATIONSHIP
-------------------
Existing HDFC Account:   # Yes/No
Account Number: FVVF12651359865591
Relationship Duration: 

CARD SELECTION
-------------
Preferred Card Variant:   # Moneyback/Regalia/Diners Club
Reward Program Choice: 
",bank,credit card details
"
**HDFC BANK - CREDIT CARD APPLICATION**
Application ID: 

APPLICANT INFORMATION
--------------------
Full Name: 
Date of Birth: 2005-07-06
PAN Number: H9774
Aadhaar Number: 13662411415
Contact Details:
    Mobile: 320.622.4917x246
    Email: ronald38@example.org
    
RESIDENTIAL INFORMATION
----------------------
Address: 
City & PIN: 
Years at Current Address: 

PROFESSIONAL DETAILS
-------------------
Employment Type: 
Employer Name: 
Monthly Income: 
Office Address: 

BANKING RELATIONSHIP
-------------------
Existing HDFC Account:   # Yes/No
Account Number: DUAD52646332785207
Relationship Duration: 

CARD SELECTION
-------------
Preferred Card Variant:   # Moneyback/Regalia/Diners Club
Reward Program Choice: 
",bank,credit card details
"
**ICICI BANK - CREDIT CARD APPLICATION**
Reference Number: 

PERSONAL INFORMATION
-------------------
Customer Name: 
Father's Name: 
Mother's Name: 
Date of Birth: 1957-07-26
Gender: 
Marital Status: 

IDENTIFICATION
-------------
PAN: 
Aadhaar: 
Voter ID/Driving License: 

CONTACT DETAILS
--------------
Mobile Number: 338.744.2293x6555
Alternate Number: 
Email Address: myersamy@example.com
Residence Address: 
PIN Code: 

EMPLOYMENT & INCOME
------------------
Occupation: Self-Employed
Company Name: 
Designation: 
Work Experience: 
Gross Annual Income: 880485
Net Monthly Income: 

EXISTING RELATIONSHIP
--------------------
ICICI Account Holder:   # Yes/No
Account Number: QDHR40699620319592
Credit Bureau Score: 

CARD DETAILS
-----------
Card Variant Applied:   # Coral/Rubyx/Sapphiro/Diamond
Add-On Card Required:   # Yes/No
",bank,credit card details
"
**ICICI BANK - CREDIT CARD APPLICATION**
Reference Number: 

PERSONAL INFORMATION
-------------------
Customer Name: 
Father's Name: 
Mother's Name: 
Date of Birth: 1961-05-01
Gender: 
Marital Status: 

IDENTIFICATION
-------------
PAN: 
Aadhaar: 
Voter ID/Driving License: 

CONTACT DETAILS
--------------
Mobile Number: 918.765.1435
Alternate Number: 
Email Address: donnahughes@example.org
Residence Address: 
PIN Code: 

EMPLOYMENT & INCOME
------------------
Occupation: Self-Employed
Company Name: 
Designation: 
Work Experience: 
Gross Annual Income: 1507684
Net Monthly Income: 

EXISTING RELATIONSHIP
--------------------
ICICI Account Holder:   # Yes/No
Account Number: LNCD17067083214482
Credit Bureau Score: 

CARD DETAILS
-----------
Card Variant Applied:   # Coral/Rubyx/Sapphiro/Diamond
Add-On Card Required:   # Yes/No
",bank,credit card details
"
**AXIS BANK - CREDIT CARD APPLICATION**
Application Number: 

PERSONAL DETAILS
---------------
Applicant's Name: 
Date of Birth: 1965-08-22
PAN Number: P1164
Aadhaar Number: 882051255281

CONTACT INFORMATION
------------------
Mobile: 
Email: 
Current Address: 217 Ashley Place
Ryanborough, UT 32662
Permanent Address: 7597 Michele Lights
Michaelview, NC 76055

PROFESSIONAL DETAILS
-------------------
Employment Status: 
Current Employer: 
Monthly Salary: 
Office Address: 

BANK RELATIONSHIP
----------------
Existing Axis Account: 
Account Number: WYBP00665789419506
Account Type: Current
Branch: North Jessicaton

CARD PREFERENCES
---------------
Desired Card Type: Signature  # My Zone/Neo/Magnus/Privilege
Credit Limit Expected: 
",bank,credit card details
"
**AXIS BANK - CREDIT CARD APPLICATION**
Application Number: 

PERSONAL DETAILS
---------------
Applicant's Name: 
Date of Birth: 1980-04-14
PAN Number: Q4931
Aadhaar Number: 269201072913

CONTACT INFORMATION
------------------
Mobile: 
Email: 
Current Address: 7018 Brandon Lodge
West Coreyland, DC 40052
Permanent Address: 2922 Castillo Run
Eatonport, TX 79241

PROFESSIONAL DETAILS
-------------------
Employment Status: 
Current Employer: 
Monthly Salary: 
Office Address: 

BANK RELATIONSHIP
----------------
Existing Axis Account: 
Account Number: JPHF74968396816908
Account Type: Savings
Branch: Woodsberg

CARD PREFERENCES
---------------
Desired Card Type: Signature  # My Zone/Neo/Magnus/Privilege
Credit Limit Expected: 
",bank,credit card details
"
**KOTAK MAHINDRA BANK - CREDIT CARD APPLICATION**
Application ID: 

APPLICANT DETAILS
----------------
Name as Desired on Card: 
Full Name: 
Date of Birth: 2005-04-23
PAN Number: O3240
Aadhaar Number: 488791748538

CONTACT DETAILS
--------------
Mobile Number: (939)224-7179x9320
Landline: 
Email ID: lisawalton@example.com
Correspondence Address: 
Permanent Address: 

OCCUPATION DETAILS
-----------------
Nature of Occupation: Business
Company Name: 
Current Role: 
Work Experience: 
Annual Income: 

BANKING DETAILS
--------------
Existing Kotak Account: 
Account Number: WFWJ53316387536620
Relationship Period: 

CARD SELECTION
-------------
Card Variant:   # Royale/League/Dream Different
Priority Pass Required: 
",bank,credit card details
"
**KOTAK MAHINDRA BANK - CREDIT CARD APPLICATION**
Application ID: 

APPLICANT DETAILS
----------------
Name as Desired on Card: 
Full Name: 
Date of Birth: 2002-10-03
PAN Number: W5304
Aadhaar Number: 137495987637

CONTACT DETAILS
--------------
Mobile Number: 001-779-858-1249x31259
Landline: 
Email ID: myerssandra@example.com
Correspondence Address: 
Permanent Address: 

OCCUPATION DETAILS
-----------------
Nature of Occupation: Self-Employed
Company Name: 
Current Role: 
Work Experience: 
Annual Income: 

BANKING DETAILS
--------------
Existing Kotak Account: 
Account Number: KHHX76383236908486
Relationship Period: 

CARD SELECTION
-------------
Card Variant:   # Royale/League/Dream Different
Priority Pass Required: 
",bank,credit card details
