information,label,specific_label
"
**STATE BANK OF INDIA - FIXED DEPOSIT APPLICATION**
Reference Number: 42bf587a-c087-4ece-84ba-fd21d5ddae76
Date: 

APPLICANT DETAILS
---------------
Name: 
Customer ID: 
PAN Number: C7795
Date of Birth: 1993-09-12
Mobile Number: 859-449-4927
Email ID: flynnpatricia@example.net

DEPOSIT DETAILS
-------------
Deposit Amount: 411207
Deposit Period: 4 Years  # Years/Months/Days
Interest Rate: 5.579407851851312
Deposit Type: Tax Saving  # Regular/Tax Saving/Senior Citizen
Interest Payout: Quarterly  # Monthly/Quarterly/Annual/Cumulative

ACCOUNT DETAILS
-------------
Source Account: ZAJM31847841971555
Branch: Lake Jasonland
Mode of Operation: Single  # Single/Joint/Either or Survivor

MATURITY INSTRUCTIONS
------------------
Maturity Proceeds: Auto Renew  # Auto Renew/Credit to Account
Auto Renewal Period: 2 Years
Credit Account: YRDI17958358318752

NOMINATION DETAILS
---------------
Nominee Name: Jessica Valencia
Relationship: Sibling
Nominee DOB: 2001-01-29
",bank,fixed deposit details
"
**STATE BANK OF INDIA - FIXED DEPOSIT APPLICATION**
Reference Number: 0cfe9c24-e773-49fb-9e15-fbe5e43a2f45
Date: 

APPLICANT DETAILS
---------------
Name: 
Customer ID: 
PAN Number: W2123
Date of Birth: 1983-01-23
Mobile Number: 001-552-722-2781x700
Email ID: melaniewright@example.com

DEPOSIT DETAILS
-------------
Deposit Amount: 146219
Deposit Period: 9 Years  # Years/Months/Days
Interest Rate: 5.383484261673601
Deposit Type: Senior Citizen  # Regular/Tax Saving/Senior Citizen
Interest Payout: Cumulative  # Monthly/Quarterly/Annual/Cumulative

ACCOUNT DETAILS
-------------
Source Account: RHXM76736257857334
Branch: South Anna
Mode of Operation: Single  # Single/Joint/Either or Survivor

MATURITY INSTRUCTIONS
------------------
Maturity Proceeds: Credit to Account  # Auto Renew/Credit to Account
Auto Renewal Period: 3 Years
Credit Account: XRSU27690062157845

NOMINATION DETAILS
---------------
Nominee Name: Thomas Powell
Relationship: Child
Nominee DOB: 1955-07-28
",bank,fixed deposit details
"
**HDFC BANK - FIXED DEPOSIT APPLICATION**
Application ID: 

PERSONAL INFORMATION
-----------------
Full Name: 
Customer ID: 
PAN Number: Q7892
Mobile Number: (565)537-6619x972
Email Address: tanyasmith@example.net
Category:   # Regular/Senior Citizen/Staff

DEPOSIT SCHEME
------------
Deposit Type: Regular  # Regular/Tax Saver/Super Saver
Amount: 
Tenure: 
Interest Rate Applicable: 7.310204649295636
Interest Payment Frequency: 

FUNDING DETAILS
-------------
Debit Account Number: 
Payment Mode:   # Account Transfer/Cheque/NEFT
Branch: 

MATURITY INSTRUCTIONS
------------------
Maturity Action:   # Renew Principal/Renew with Interest/Pay
Credit Account: SUOS99150701979037
Renewal Period: 2 Years

NOMINATION
---------
Nominee Name: Jonathan Williams
Relationship: 
Date of Birth: 2006-07-22
Address: 
",bank,fixed deposit details
"
**HDFC BANK - FIXED DEPOSIT APPLICATION**
Application ID: 

PERSONAL INFORMATION
-----------------
Full Name: 
Customer ID: 
PAN Number: T4195
Mobile Number: 269-302-4364x9901
Email Address: juan22@example.org
Category:   # Regular/Senior Citizen/Staff

DEPOSIT SCHEME
------------
Deposit Type: Senior Citizen  # Regular/Tax Saver/Super Saver
Amount: 
Tenure: 
Interest Rate Applicable: 5.100718344491219
Interest Payment Frequency: 

FUNDING DETAILS
-------------
Debit Account Number: 
Payment Mode:   # Account Transfer/Cheque/NEFT
Branch: 

MATURITY INSTRUCTIONS
------------------
Maturity Action:   # Renew Principal/Renew with Interest/Pay
Credit Account: KZTN08845662069001
Renewal Period: 1 Year

NOMINATION
---------
Nominee Name: Dalton Adams
Relationship: 
Date of Birth: 1962-07-24
Address: 
",bank,fixed deposit details
"
**ICICI BANK - FIXED DEPOSIT APPLICATION**
Reference Number: 

CUSTOMER INFORMATION
-----------------
Name: 
Customer ID: 
PAN: 
Mobile: 533.557.1840
Email: michaelbishop@example.com
Category:   # General/Senior Citizen

DEPOSIT REQUIREMENTS
-----------------
Deposit Amount: 382219
Deposit Period: 2 Years
Interest Rate: 7.03309153705909
Deposit Type: Tax Saving  # Cumulative/Non-Cumulative
Interest Payout Option: 

SOURCE OF FUNDS
-------------
Account Number: KLZF71925823887069
Branch Name: New Anthonymouth
Mode of Funding: 

MATURITY DETAILS
--------------
Maturity Instructions: Credit to Account
Auto Renewal Terms: 
Payout Account: 

NOMINEE INFORMATION
----------------
Nominee Name: Peter Farrell
Relationship: 
Date of Birth: 1972-07-04
Guardian Details:   # If nominee is minor
",bank,fixed deposit details
"
**ICICI BANK - FIXED DEPOSIT APPLICATION**
Reference Number: 

CUSTOMER INFORMATION
-----------------
Name: 
Customer ID: 
PAN: 
Mobile: 865-907-1199x41800
Email: sandovalkristen@example.org
Category:   # General/Senior Citizen

DEPOSIT REQUIREMENTS
-----------------
Deposit Amount: 222810
Deposit Period: 1 Years
Interest Rate: 5.130326508184246
Deposit Type: Senior Citizen  # Cumulative/Non-Cumulative
Interest Payout Option: 

SOURCE OF FUNDS
-------------
Account Number: VDXI43627367525877
Branch Name: East Jennifershire
Mode of Funding: 

MATURITY DETAILS
--------------
Maturity Instructions: Credit to Account
Auto Renewal Terms: 
Payout Account: 

NOMINEE INFORMATION
----------------
Nominee Name: Elizabeth Green
Relationship: 
Date of Birth: 1997-11-16
Guardian Details:   # If nominee is minor
",bank,fixed deposit details
"
**AXIS BANK - FIXED DEPOSIT APPLICATION**
Form Number: 112049

APPLICANT DETAILS
--------------
Name: Michael Wright
Customer ID: 
PAN Number: U5730
Mobile Number: 434-766-4788x609
Email ID: daniel86@example.org
Customer Type:   # Regular/Senior Citizen/Staff

DEPOSIT DETAILS
-------------
Scheme Type: 
Principal Amount: 
Tenure: 
Interest Rate: 7.205850865102658
Interest Payout: Annual

FUNDING INFORMATION
----------------
Source Account: LYTZ63090458660306
Mode of Funding: 
Branch: 

MATURITY INSTRUCTIONS
------------------
Maturity Action: 
Renewal Instructions: 
Credit Account: UTNS59167863123510

NOMINATION DETAILS
---------------
Nominee Name: Steven Jackson
Relationship: 
DOB: 1967-08-01
Guardian Name:   # If applicable
",bank,fixed deposit details
"
**AXIS BANK - FIXED DEPOSIT APPLICATION**
Form Number: 87270

APPLICANT DETAILS
--------------
Name: Richard Craig
Customer ID: 
PAN Number: T7359
Mobile Number: 559.232.2238x93912
Email ID: micheal10@example.net
Customer Type:   # Regular/Senior Citizen/Staff

DEPOSIT DETAILS
-------------
Scheme Type: 
Principal Amount: 
Tenure: 
Interest Rate: 6.077318385795948
Interest Payout: Quarterly

FUNDING INFORMATION
----------------
Source Account: YZTM70438459166620
Mode of Funding: 
Branch: 

MATURITY INSTRUCTIONS
------------------
Maturity Action: 
Renewal Instructions: 
Credit Account: IOGF46481299821371

NOMINATION DETAILS
---------------
Nominee Name: Barbara Carter
Relationship: 
DOB: 2004-02-27
Guardian Name:   # If applicable
",bank,fixed deposit details
"
**KOTAK MAHINDRA BANK - FIXED DEPOSIT APPLICATION**
Application ID: 

PERSONAL DETAILS
-------------
Account Holder Name: 
Customer Relationship Number: 
PAN: W6288
Mobile: +1-389-923-1676x413
Email: jacob01@example.com
Category: 

DEPOSIT SELECTION
--------------
Deposit Type: Senior Citizen
Amount: 
Period: 
Interest Rate: 6.27154999159549
Interest Payment: 

FUNDING DETAILS
-------------
Debit Account: 
Mode of Funding: 
Branch: 

MATURITY PROFILE
-------------
Maturity Instructions: 
Renewal Terms: 
Settlement Account: 

NOMINEE DETAILS
-------------
Nominee Name: Randall Mitchell
Relationship: 
Date of Birth: 1988-05-31
",bank,fixed deposit details
"
**KOTAK MAHINDRA BANK - FIXED DEPOSIT APPLICATION**
Application ID: 

PERSONAL DETAILS
-------------
Account Holder Name: 
Customer Relationship Number: 
PAN: L8876
Mobile: 852-484-3937x64625
Email: adamjohnson@example.net
Category: 

DEPOSIT SELECTION
--------------
Deposit Type: Regular
Amount: 
Period: 
Interest Rate: 7.511373098718675
Interest Payment: 

FUNDING DETAILS
-------------
Debit Account: 
Mode of Funding: 
Branch: 

MATURITY PROFILE
-------------
Maturity Instructions: 
Renewal Terms: 
Settlement Account: 

NOMINEE DETAILS
-------------
Nominee Name: William Hebert
Relationship: 
Date of Birth: 1966-10-14
",bank,fixed deposit details
