information,label,specific_label
"
**STATE BANK OF INDIA - KYC FORM**
Reference Number: 999b8fa1-e255-4280-82dc-b8c0e80ca563
Date: 

PERSONAL INFORMATION
------------------
Customer Name: Dennis Johnson
Father's/Spouse Name: Daniel Miller
Mother's Name: Jeffrey Hamilton
Date of Birth: 1980-01-15
Gender: Male
Marital Status: Single
Nationality: Poland

IDENTITY DOCUMENTS
----------------
PAN Number: E7696
Aadhaar Number: 895346411750
Passport Number: E574962
Driving License: Y2839315981
Voter ID: E1919401050

CONTACT DETAILS
-------------
Mobile Number: (214)415-1061x91213
Landline: (599)379-2120
Email ID: omoreno@example.com

ADDRESS DETAILS
-------------
Current Address: 5211 Barbara Ramp
Karenfurt, MT 08086
Permanent Address: 660 Michael Stream Apt. 650
Barnetttown, PA 40002
City: Jacobtown
State: Idaho
PIN Code: 62551
Residence Type: Owned  # Owned/Rented/Leased

OCCUPATION DETAILS
----------------
Occupation Type: Employed
Annual Income Range: 5-10 Lakh
Source of Income: Other
Employer/Business Name: Mendez Inc

ACCOUNT DETAILS
-------------
Account Type: Savings
Account Number: 2932177046
Branch Code: 18871
",bank,kyc details
"
**STATE BANK OF INDIA - KYC FORM**
Reference Number: a62ddaf6-b778-486e-9e91-b46f472f3a3b
Date: 

PERSONAL INFORMATION
------------------
Customer Name: April Oneal
Father's/Spouse Name: Melissa Smith
Mother's Name: Erin Davis
Date of Birth: 1985-01-25
Gender: Female
Marital Status: Married
Nationality: Norway

IDENTITY DOCUMENTS
----------------
PAN Number: A4477
Aadhaar Number: 773668433703
Passport Number: E132973
Driving License: J9669437375
Voter ID: H2824027882

CONTACT DETAILS
-------------
Mobile Number: 448-666-8243x9584
Landline: 001-818-212-4727
Email ID: robertli@example.net

ADDRESS DETAILS
-------------
Current Address: 4399 Reed Place
West Miafurt, UT 65662
Permanent Address: 3739 David Stream Apt. 391
New Karenfurt, IL 07117
City: Davidberg
State: North Carolina
PIN Code: 31178
Residence Type: Leased  # Owned/Rented/Leased

OCCUPATION DETAILS
----------------
Occupation Type: Retired
Annual Income Range: Below 2 Lakh
Source of Income: Salary
Employer/Business Name: Powers Inc

ACCOUNT DETAILS
-------------
Account Type: Savings
Account Number: 6134236991
Branch Code: 60195
",bank,kyc details
"
**HDFC BANK - KYC APPLICATION**
Application ID: 

CUSTOMER DETAILS
--------------
Full Name: 
Date of Birth: 1968-04-21
Gender: Female
Citizenship: 
Tax Residency: 

PROOF OF IDENTITY
---------------
PAN Card Number: W6921
Aadhaar Number: 416936015015
Form 60 (if no PAN): 
Additional ID Type: 
Additional ID Number: 

ADDRESS INFORMATION
-----------------
Residential Address: 
Office Address: 
Correspondence Address: 
Address Proof Type: 
Proof Number: 

CONTACT INFORMATION
-----------------
Mobile Number: 001-667-367-6857x209
Alternate Number: 
Email Address: alexandra71@example.org
Landline: 620-248-1123

OCCUPATION & INCOME
----------------
Occupation: Student
Nature of Business: 
Annual Income: 
Source of Funds: 

FATCA DECLARATION
---------------
US Person Status: 
Tax Residency Country: 
Tax ID Number: 
",bank,kyc details
"
**HDFC BANK - KYC APPLICATION**
Application ID: 

CUSTOMER DETAILS
--------------
Full Name: 
Date of Birth: 1959-07-29
Gender: Other
Citizenship: 
Tax Residency: 

PROOF OF IDENTITY
---------------
PAN Card Number: O6948
Aadhaar Number: 552717184347
Form 60 (if no PAN): 
Additional ID Type: 
Additional ID Number: 

ADDRESS INFORMATION
-----------------
Residential Address: 
Office Address: 
Correspondence Address: 
Address Proof Type: 
Proof Number: 

CONTACT INFORMATION
-----------------
Mobile Number: 389.302.5129
Alternate Number: 
Email Address: sean25@example.net
Landline: 001-640-507-6811x9429

OCCUPATION & INCOME
----------------
Occupation: Employed
Nature of Business: 
Annual Income: 
Source of Funds: 

FATCA DECLARATION
---------------
US Person Status: 
Tax Residency Country: 
Tax ID Number: 
",bank,kyc details
"
**ICICI BANK - KYC FORM**
Reference Number: 

BASIC INFORMATION
---------------
Customer Name: Laura Brown
Date of Birth: 1990-11-22
Place of Birth: 
Gender: Male
Marital Status: Single
Nationality: Reunion

IDENTITY VERIFICATION
------------------
PAN Number: M7907
Aadhaar Number: 491040124629
Passport Details: 
Other Valid ID: 
Photo Submission: 

CONTACT & ADDRESS
---------------
Mobile Number: (840)726-3962x8946
Email ID: veronicacarter@example.org
Residence Phone: 
Current Address: 2067 Steven Summit Apt. 625
Joyceburgh, MT 32883
Permanent Address: 83150 Cline Trace Suite 702
New Vincent, MH 54259
Address Proof Type: 

OCCUPATION DETAILS
----------------
Employment Type: 
Employer Name: Maynard Ltd
Office Address: 
Annual Income: 
Nature of Business: 

ADDITIONAL DETAILS
----------------
Purpose of Account: 
Expected Transactions: 
Risk Category: 
",bank,kyc details
"
**ICICI BANK - KYC FORM**
Reference Number: 

BASIC INFORMATION
---------------
Customer Name: Mr. Justin Wilson
Date of Birth: 1979-12-23
Place of Birth: 
Gender: Female
Marital Status: Single
Nationality: Morocco

IDENTITY VERIFICATION
------------------
PAN Number: S2004
Aadhaar Number: 565553320331
Passport Details: 
Other Valid ID: 
Photo Submission: 

CONTACT & ADDRESS
---------------
Mobile Number: +1-622-347-2064x867
Email ID: joshua58@example.org
Residence Phone: 
Current Address: 94823 Lawrence Road Apt. 814
Lake Amyborough, WA 46566
Permanent Address: 4146 Torres Roads Suite 259
East Reginashire, TN 46745
Address Proof Type: 

OCCUPATION DETAILS
----------------
Employment Type: 
Employer Name: Caldwell, Williams and Miller
Office Address: 
Annual Income: 
Nature of Business: 

ADDITIONAL DETAILS
----------------
Purpose of Account: 
Expected Transactions: 
Risk Category: 
",bank,kyc details
"
**AXIS BANK - KYC APPLICATION**
Form Number: 84086

PERSONAL DETAILS
--------------
Name: 
Date of Birth: 1984-01-05
Gender: Male
Nationality: Seychelles
Resident Status: 

IDENTIFICATION
------------
PAN Number: W6814
Aadhaar Number: 636037450691
Passport Number: 
Other ID Type: 
Other ID Number: 

ADDRESS DETAILS
-------------
Residential Address: 
Office Address: 
Preferred Mailing: 
Proof Submitted: 

CONTACT INFORMATION
-----------------
Mobile Number: (361)842-9265
Email Address: miranda38@example.com
Alternate Contact: 

OCCUPATION & INCOME
----------------
Occupation Type: Employed
Industry: 
Annual Income: 
Source of Wealth: 

ACCOUNT RELATED
-------------
Account Type: Current
Banking Purpose: 
Expected Turnover: 
",bank,kyc details
"
**AXIS BANK - KYC APPLICATION**
Form Number: 98486

PERSONAL DETAILS
--------------
Name: 
Date of Birth: 2006-09-29
Gender: Female
Nationality: Cuba
Resident Status: 

IDENTIFICATION
------------
PAN Number: E3081
Aadhaar Number: 267402672124
Passport Number: 
Other ID Type: 
Other ID Number: 

ADDRESS DETAILS
-------------
Residential Address: 
Office Address: 
Preferred Mailing: 
Proof Submitted: 

CONTACT INFORMATION
-----------------
Mobile Number: 001-844-509-5275
Email Address: uingram@example.com
Alternate Contact: 

OCCUPATION & INCOME
----------------
Occupation Type: Student
Industry: 
Annual Income: 
Source of Wealth: 

ACCOUNT RELATED
-------------
Account Type: Current
Banking Purpose: 
Expected Turnover: 
",bank,kyc details
"
**KOTAK MAHINDRA BANK - KYC FORM**
Application ID: 

CUSTOMER INFORMATION
-----------------
Full Name: 
Date of Birth: 1972-04-01
Place of Birth: 
Mother's Name: Brenda Barrera
Father's Name: 

IDENTITY DETAILS
--------------
PAN Number: S2318
Aadhaar Number: 956186495500
Voter ID: S3434741384
Driving License: Z1382072004

CONTACT & ADDRESS
---------------
Mobile Number: +1-308-768-9282x35885
Email ID: james82@example.net
Current Address: 633 Randall Orchard Apt. 363
Jaclynview, MS 94134
Permanent Address: 735 Simpson Curve Apt. 495
Garyfort, AZ 31503
Residence Type: Leased

OCCUPATION DETAILS
----------------
Occupation: Student
Employer/Business: Hernandez LLC
Work Address: 
Annual Income: 

FATCA/CRS DETAILS
---------------
Tax Residency: 
FATCA Status: 
CRS Declaration: 
",bank,kyc details
"
**KOTAK MAHINDRA BANK - KYC FORM**
Application ID: 

CUSTOMER INFORMATION
-----------------
Full Name: 
Date of Birth: 1983-12-10
Place of Birth: 
Mother's Name: Rachel Miller
Father's Name: 

IDENTITY DETAILS
--------------
PAN Number: X1070
Aadhaar Number: 608361749382
Voter ID: Z7589347514
Driving License: K1391984772

CONTACT & ADDRESS
---------------
Mobile Number: 583.744.0818x2795
Email ID: pennypearson@example.org
Current Address: PSC 5737, Box 7605
APO AP 69169
Permanent Address: 270 Anthony Causeway
South Kristin, GA 55775
Residence Type: Owned

OCCUPATION DETAILS
----------------
Occupation: Employed
Employer/Business: Holmes, Murray and Brennan
Work Address: 
Annual Income: 

FATCA/CRS DETAILS
---------------
Tax Residency: 
FATCA Status: 
CRS Declaration: 
",bank,kyc details
