information,label,specific_label
"
**STATE BANK OF INDIA - LOAN APPLICATION**
Application Reference: 72f16286-6349-4f52-9b55-efd1fc42e7f6
Branch Code: 46687

PERSONAL DETAILS
-----------------
Applicant Name: Sydney Walsh
Date of Birth: 1970-03-31
PAN Card Number: U2715
Aadhaar Number: 891495405652
Mobile Number: 8159919375
Email ID: nealcody@example.net

RESIDENCE DETAILS
----------------
Current Address: 378 Michael Wells
Wolfefurt, VT 80893
City: Bowersside
PIN Code: 61927
Residence Status: Rented  # Owned/Rented/Company Provided
Years at Current Address: 19

EMPLOYMENT DETAILS
-----------------
Occupation Type: Salaried  # Salaried/Self-Employed/Business
Company Name: Ware, Blackwell and Wilson
Annual Income: 500000
Years in Current Job: 20

LOAN DETAILS
-----------
Loan Type: Education  # Home/Personal/Vehicle/Education
Loan Amount Required: 50000
Loan Tenure (Years): 5
Purpose of Loan: Business Expansion

EXISTING LOANS
-------------
Any Existing Loans: No  # Yes/No
Total EMI Amount: 15000
",loan,loan details
"
**STATE BANK OF INDIA - LOAN APPLICATION**
Application Reference: c90d8f91-fca6-4258-9b5e-9b9ddfcfe9f4
Branch Code: 37425

PERSONAL DETAILS
-----------------
Applicant Name: Jessica Hopkins
Date of Birth: 1959-02-02
PAN Card Number: K2499
Aadhaar Number: 366335799450
Mobile Number: (315)770-0675x80002
Email ID: nicolas22@example.org

RESIDENCE DETAILS
----------------
Current Address: 5110 Victor Pike Suite 876
Janicestad, VT 24123
City: South Amberborough
PIN Code: 70651
Residence Status: Company Provided  # Owned/Rented/Company Provided
Years at Current Address: 16

EMPLOYMENT DETAILS
-----------------
Occupation Type: Self-Employed  # Salaried/Self-Employed/Business
Company Name: Daniels LLC
Annual Income: 500000
Years in Current Job: 12

LOAN DETAILS
-----------
Loan Type: Home  # Home/Personal/Vehicle/Education
Loan Amount Required: 50000
Loan Tenure (Years): 10
Purpose of Loan: Car Purchase

EXISTING LOANS
-------------
Any Existing Loans: No  # Yes/No
Total EMI Amount: 20000
",loan,loan details
"
**HDFC BANK - LOAN APPLICATION**
Application ID: 

APPLICANT INFORMATION
--------------------
Full Name: 
Date of Birth: 1993-12-08
PAN Number: D7603
Aadhaar Number: 266700491146
Contact Details:
    Mobile: 760.420.7943x4749
    Email: umccoy@example.com

RESIDENTIAL INFORMATION
----------------------
Address: 
City & PIN: 
Residence Type:   # Self-Owned/Rented/Parental
Years at Current Address: 

PROFESSIONAL DETAILS
-------------------
Employment Type: 
Employer Name: 
Monthly Income: 45000
Work Experience: 16
Office Address: USS Sanchez
FPO AE 29050

LOAN REQUIREMENTS
----------------
Loan Product:   # Personal/Home/Car/Education
Required Amount: 100000
Tenure Requested: 12
Purpose: 

FINANCIAL DETAILS
----------------
Existing EMIs: 2
Other Income Sources: Freelancing
Bank Account Number: 8174382997
",loan,loan details
"
**HDFC BANK - LOAN APPLICATION**
Application ID: 

APPLICANT INFORMATION
--------------------
Full Name: 
Date of Birth: 2004-06-03
PAN Number: B1781
Aadhaar Number: 724271015254
Contact Details:
    Mobile: 367.885.4552x41923
    Email: madisonacevedo@example.org

RESIDENTIAL INFORMATION
----------------------
Address: 
City & PIN: 
Residence Type:   # Self-Owned/Rented/Parental
Years at Current Address: 

PROFESSIONAL DETAILS
-------------------
Employment Type: 
Employer Name: 
Monthly Income: 60000
Work Experience: 3
Office Address: 76710 Lewis Locks
Isabelport, GU 73674

LOAN REQUIREMENTS
----------------
Loan Product:   # Personal/Home/Car/Education
Required Amount: 300000
Tenure Requested: 60
Purpose: 

FINANCIAL DETAILS
----------------
Existing EMIs: 2
Other Income Sources: Investments
Bank Account Number: 6399115748
",loan,loan details
"
**ICICI BANK - LOAN APPLICATION FORM**
Application Number: 
Date: 

1. PERSONAL INFORMATION
----------------------
Name: 
Date of Birth: 
Gender: 
PAN: 
Aadhaar: 
Contact Information:
  - Phone: 
  - Email: 

2. ADDRESS DETAILS
-----------------
Present Address: PSC 7118, Box 5518
APO AE 26828
City: 
State: 
PIN: 
Ownership Status:   # Own/Rented/Lease
Duration of Stay: 

3. EMPLOYMENT & INCOME
---------------------
Employment Type:   # Salaried/Self-Employed/Business Owner
Organization: 
Designation: 
Work Experience: 
Gross Annual Income: 
Net Monthly Income: 

4. LOAN REQUEST
--------------
Loan Category: Personal  # Personal/Home/Auto/Business
Amount Requested: 100000
Tenure Required: 
Purpose: Car Purchase

5. BANKING RELATIONSHIPS
-----------------------
Primary Bank: SBI
Account Type: Savings
Account Number: 2943066760
Existing Loans:   # Yes/No
Current EMIs: 
",loan,loan details
"
**ICICI BANK - LOAN APPLICATION FORM**
Application Number: 
Date: 

1. PERSONAL INFORMATION
----------------------
Name: 
Date of Birth: 
Gender: 
PAN: 
Aadhaar: 
Contact Information:
  - Phone: 
  - Email: 

2. ADDRESS DETAILS
-----------------
Present Address: 951 Rhonda Trail Apt. 462
Levitown, FL 77240
City: 
State: 
PIN: 
Ownership Status:   # Own/Rented/Lease
Duration of Stay: 

3. EMPLOYMENT & INCOME
---------------------
Employment Type:   # Salaried/Self-Employed/Business Owner
Organization: 
Designation: 
Work Experience: 
Gross Annual Income: 
Net Monthly Income: 

4. LOAN REQUEST
--------------
Loan Category: Home  # Personal/Home/Auto/Business
Amount Requested: 500000
Tenure Required: 
Purpose: Business Expansion

5. BANKING RELATIONSHIPS
-----------------------
Primary Bank: Kotak
Account Type: Fixed Deposit
Account Number: 7075823672
Existing Loans:   # Yes/No
Current EMIs: 
",loan,loan details
"
**AXIS BANK LOAN APPLICATION**
Reference ID: 

APPLICANT DETAILS
----------------
Full Name: 
DOB: 1987-01-12
Gender: 
Marital Status: 
Identity Details:
  PAN: E1734
  Aadhaar: 263245204361
Contact:
  Mobile: 
  Email: 

RESIDENCE INFORMATION
-------------------
Current Address: 
Landmark: 
City & State: 
PIN Code: 
Residence Type:   # Owned/Rented/Family
Stay Duration: 

OCCUPATION DETAILS
----------------
Profession:   # Service/Business/Self-Employed
Company/Business Name: Barry LLC
Industry Type: 
Years in Current Work: 
Monthly Income: 60000
Annual Turnover:   # For Business/Self-Employed

LOAN REQUIREMENTS
---------------
Loan Type: Personal
Required Amount: 100000
Tenure (Months): 
Repayment Mode: 
Purpose: 

FINANCIAL HISTORY
---------------
Existing Credit Facilities: 
Monthly Obligations: 
Relationship with Axis Bank: 
",loan,loan details
"
**AXIS BANK LOAN APPLICATION**
Reference ID: 

APPLICANT DETAILS
----------------
Full Name: 
DOB: 1968-03-18
Gender: 
Marital Status: 
Identity Details:
  PAN: R1278
  Aadhaar: 92540974708
Contact:
  Mobile: 
  Email: 

RESIDENCE INFORMATION
-------------------
Current Address: 
Landmark: 
City & State: 
PIN Code: 
Residence Type:   # Owned/Rented/Family
Stay Duration: 

OCCUPATION DETAILS
----------------
Profession:   # Service/Business/Self-Employed
Company/Business Name: Bennett and Sons
Industry Type: 
Years in Current Work: 
Monthly Income: 45000
Annual Turnover:   # For Business/Self-Employed

LOAN REQUIREMENTS
---------------
Loan Type: Education
Required Amount: 200000
Tenure (Months): 
Repayment Mode: 
Purpose: 

FINANCIAL HISTORY
---------------
Existing Credit Facilities: 
Monthly Obligations: 
Relationship with Axis Bank: 
",loan,loan details
"
**KOTAK MAHINDRA BANK - LOAN APPLICATION**
Application ID: 
Branch: 

PERSONAL PARTICULARS
------------------
Applicant Name: John Jackson
Date of Birth: 
Gender: 
Identification:
  - PAN Number: 
  - Aadhaar Number: 
Contact Details:
  - Mobile: 
  - Email: 
  - Alternative Contact: 

RESIDENTIAL DETAILS
-----------------
Present Address: Unit 9619 Box 8158
DPO AE 22844
City: West Michael
State: 
PIN: 
Residence Status: Owned  # Self-Owned/Rented/Parental
Years of Stay: 

EMPLOYMENT INFORMATION
--------------------
Occupation:   # Salaried/Self-Employed Professional/Business
Employer/Business: 
Industry Sector: 
Work Experience: 9
Income Details:
  - Monthly Income: 35000
  - Other Income: Rent
  - Annual Business Turnover:   # If applicable

LOAN PARTICULARS
--------------
Product Type:   # Personal/Home/Business/Vehicle
Requested Amount: 
Tenure Requested: 60
Purpose of Loan: 
Preferred EMI Date: 

BANKING RELATIONSHIP
------------------
Existing Customer:   # Yes/No
Account Number: 
Current Banking Products: 
Outstanding Loans: 
Total EMI Load: 
",loan,loan details
"
**KOTAK MAHINDRA BANK - LOAN APPLICATION**
Application ID: 
Branch: 

PERSONAL PARTICULARS
------------------
Applicant Name: Evelyn Lopez
Date of Birth: 
Gender: 
Identification:
  - PAN Number: 
  - Aadhaar Number: 
Contact Details:
  - Mobile: 
  - Email: 
  - Alternative Contact: 

RESIDENTIAL DETAILS
-----------------
Present Address: 42904 Karen Inlet Suite 310
North Timothyview, LA 51030
City: Jasmineborough
State: 
PIN: 
Residence Status: Company Provided  # Self-Owned/Rented/Parental
Years of Stay: 

EMPLOYMENT INFORMATION
--------------------
Occupation:   # Salaried/Self-Employed Professional/Business
Employer/Business: 
Industry Sector: 
Work Experience: 3
Income Details:
  - Monthly Income: 60000
  - Other Income: Rent
  - Annual Business Turnover:   # If applicable

LOAN PARTICULARS
--------------
Product Type:   # Personal/Home/Business/Vehicle
Requested Amount: 
Tenure Requested: 12
Purpose of Loan: 
Preferred EMI Date: 

BANKING RELATIONSHIP
------------------
Existing Customer:   # Yes/No
Account Number: 
Current Banking Products: 
Outstanding Loans: 
Total EMI Load: 
",loan,loan details
