information,label,specific_label
"
**STATE BANK OF INDIA - PASSBOOK**
Branch: White Inc
IFSC: IATF05891062123979

ACCOUNT DETAILS
--------------
Account Holder: Cynthia Taylor
Account Number: 8177561994
Account Type: Current  # Savings/Current/NRI
Customer ID: 4883139851
Opening Date: 2012-04-19

TRANSACTION FORMAT
----------------
Date | Value Date | Description | Cheque No. | Debit | Credit | Balance
2024-12-07 | 2024-04-14 | tend | 170430 | 10000 | 2000 | 50000

Note: This is a computer generated statement
",passbook,passbook details
"
**STATE BANK OF INDIA - PASSBOOK**
Branch: Lynn Group
IFSC: MHQQ77972361148404

ACCOUNT DETAILS
--------------
Account Holder: Edward Medina
Account Number: 916031743
Account Type: NRI  # Savings/Current/NRI
Customer ID: 7647182510
Opening Date: 2018-06-10

TRANSACTION FORMAT
----------------
Date | Value Date | Description | Cheque No. | Debit | Credit | Balance
2024-01-31 | 2024-06-29 | wind | 699206 | 15000 | 10000 | 10000

Note: This is a computer generated statement
",passbook,passbook details
"
**HDFC BANK - PASSBOOK**
Branch: Burton Ltd
IFSC Code: KDTE78609635243830

ACCOUNT INFORMATION
-----------------
Name: Daniel Cervantes
Account No.: 8801846649
Product Type: NRI  # Savings/Current/Salary
Mode of Operation: Single  # Single/Joint
Mobile: 001-546-838-9664x257

TRANSACTION DETAILS
-----------------
Posting Date | Transaction Details | Ref No./Cheque | Withdrawal | Deposit | Balance
2024-08-14 |  | 687377 | 10000 | 5000 | 10000

This is an electronic statement of your account
",passbook,passbook details
"
**HDFC BANK - PASSBOOK**
Branch: Adams-Morris
IFSC Code: NRGO30489340334004

ACCOUNT INFORMATION
-----------------
Name: Robin Harris
Account No.: 2885338070
Product Type: Current  # Savings/Current/Salary
Mode of Operation: Joint  # Single/Joint
Mobile: (318)599-2596

TRANSACTION DETAILS
-----------------
Posting Date | Transaction Details | Ref No./Cheque | Withdrawal | Deposit | Balance
2024-10-17 |  | 25037 | 0 | 500 | 10000

This is an electronic statement of your account
",passbook,passbook details
"
**ICICI BANK - PASSBOOK**
Branch: Rodriguez Inc
IFSC: GHAD36083031096373

ACCOUNT HOLDER DETAILS
--------------------
Customer Name: Joshua Barber
Account Number: 3343079942
Account Type: Current
Customer ID: 5579041964
CKYC Number: 7e3e3164-190a-4728-93f0-e2117185e3eb

TRANSACTION RECORD
----------------
Date | Particulars | Ref No. | Withdrawals | Deposits | Closing Balance
2024-01-30 | whole | 707678 |  |  | 

For any queries, please contact your branch
",passbook,passbook details
"
**ICICI BANK - PASSBOOK**
Branch: Pennington, Martinez and Vasquez
IFSC: KSUX92784503461703

ACCOUNT HOLDER DETAILS
--------------------
Customer Name: Carol Powell
Account Number: 7965721304
Account Type: Current
Customer ID: 3989055592
CKYC Number: fad91422-a290-41f1-9f19-a4fb2666aff1

TRANSACTION RECORD
----------------
Date | Particulars | Ref No. | Withdrawals | Deposits | Closing Balance
2024-08-07 | million | 974122 |  |  | 

For any queries, please contact your branch
",passbook,passbook details
"
**AXIS BANK - PASSBOOK**
Branch Name: Estrada-Garcia
IFSC Code: OXKW42891842177165

ACCOUNT DETAILS
-------------
Account Name: 
Account No: 4935099282
Product:   # Savings/Current/Salary
Customer ID: 8883988025
Mobile No.: +1-377-375-2926x46720

TRANSACTION ENTRIES
-----------------
Tran Date | Description | Ref Number | Withdrawal | Deposit | Balance
2024-12-01 | bank |  | 10000 | 2000 | 20000

This is a system generated statement
",passbook,passbook details
"
**AXIS BANK - PASSBOOK**
Branch Name: Garcia Group
IFSC Code: LTMS11815455992724

ACCOUNT DETAILS
-------------
Account Name: 
Account No: 3956490199
Product:   # Savings/Current/Salary
Customer ID: 9712654810
Mobile No.: (838)933-8799x9792

TRANSACTION ENTRIES
-----------------
Tran Date | Description | Ref Number | Withdrawal | Deposit | Balance
2024-10-07 | long |  | 10000 | 5000 | 50000

This is a system generated statement
",passbook,passbook details
"
**KOTAK MAHINDRA BANK - PASSBOOK**
Home Branch: Pittman-Good
IFSC: DVMF21040970892111

ACCOUNT INFORMATION
-----------------
Account Holder: Regina Hernandez
Account Number: 1141530146
Scheme Code: 14940
Customer Relationship No: 26644687
Account Opening Date: 2020-10-15

TRANSACTION DETAILS
-----------------
Post Date | Value Date | Transaction Description | Chq/Ref No | Debit | Credit | Balance
 | 2024-10-22 | test | 87557 | 20000 | 10000 | 50000

Please inform the bank of any change in your contact details
",passbook,passbook details
"
**KOTAK MAHINDRA BANK - PASSBOOK**
Home Branch: Downs, Johnson and Hunter
IFSC: RAEN91672199367478

ACCOUNT INFORMATION
-----------------
Account Holder: Juan Shepherd
Account Number: 8433953117
Scheme Code: 93131
Customer Relationship No: 69783346
Account Opening Date: 2004-03-05

TRANSACTION DETAILS
-----------------
Post Date | Value Date | Transaction Description | Chq/Ref No | Debit | Credit | Balance
 | 2024-10-05 | billion | 563323 | 1000 | 500 | 20000

Please inform the bank of any change in your contact details
",passbook,passbook details
