text,label,specific_label
"**PUNJAB NATIONAL BANK - KYC FORM**
Reference Number: 1845e998-83cb-4ff4-98b5-8274bb5b9c7a

PERSONAL DETAILS
--------------
Applicant Name: 
Parent/Spouse Name: Robert Pierce
Date of Birth: 1990-03-20
Gender: Male
Category:   # General/SC/ST/OBC

PROOF OF IDENTITY
---------------
PAN Number: B2777
Aadhaar Number: 652386386383
Voter ID: Y7336876948
Passport Number: 

ADDRESS INFORMATION
----------------
Present Address: 
Permanent Address: 7974 Taylor Valleys
Emilyfort, MH 55664
Address Proof Type: 
Proof Number: 

CONTACT DETAILS
-------------
Mobile Number: +1-683-465-0120x37894
Landline Number: (961)640-7547x2886
Email Address: jadedalton@example.com

OCCUPATION & INCOME
----------------
Occupation: Self-Employed
Annual Income: 
Source of Income: Salary",bank,kyc details
"**CANARA BANK - LOAN APPLICATION**
Application Number: 
Branch: 

PERSONAL DETAILS
--------------
Full Name: 
Father's/Spouse Name: 
Date of Birth: 1958-10-15
Age: 
Gender: 
Category:   # General/SC/ST/OBC

IDENTITY DETAILS
--------------
PAN Number: P5269
Aadhaar Number: 758116566439
Voter ID: 
Driving License: 

ADDRESS DETAILS
-------------
Present Address: 
Permanent Address: 
PIN Code: 85445
Contact Numbers:
    Mobile: 200-391-9198x908
    Residence: 
Email: johnsonbenjamin@example.com

OCCUPATION & INCOME
----------------
Nature of Occupation: Salaried
Employer/Business: 
Annual Income: 300000
Other Income: Rent
Total Experience: 

LOAN REQUEST
----------
Type of Loan: Personal
Amount Required: 1000000
Repayment Period: 
Purpose: 
Security Offered: 

BANK ACCOUNT DETAILS
-----------------
Account Number: 2681181735
Account Type: Savings
IFSC Code: 
Customer ID:",bank,loan details
"**ICICI BANK - LOAN APPLICATION FORM**
Application Number: 
Date: 

1. PERSONAL INFORMATION
----------------------
Name: 
Date of Birth: 
Gender: 
PAN: 
Aadhaar: 
Contact Information:
  - Phone: 
  - Email: 

2. ADDRESS DETAILS
-----------------
Present Address: PSC 7118, Box 5518
APO AE 26828
City: 
State: 
PIN: 
Ownership Status:   # Own/Rented/Lease
Duration of Stay: 

3. EMPLOYMENT & INCOME
---------------------
Employment Type:   # Salaried/Self-Employed/Business Owner
Organization: 
Designation: 
Work Experience: 
Gross Annual Income: 
Net Monthly Income: 

4. LOAN REQUEST
--------------
Loan Category: Personal  # Personal/Home/Auto/Business
Amount Requested: 100000
Tenure Required: 
Purpose: Car Purchase

5. BANKING RELATIONSHIPS
-----------------------
Primary Bank: SBI
Account Type: Savings
Account Number: 2943066760
Existing Loans:   # Yes/No
Current EMIs:",bank,loan details
"**ICICI BANK - PASSBOOK**
Branch: Rodriguez Inc
IFSC: GHAD36083031096373

ACCOUNT HOLDER DETAILS
--------------------
Customer Name: Joshua Barber
Account Number: 3343079942
Account Type: Current
Customer ID: 5579041964
CKYC Number: 7e3e3164-190a-4728-93f0-e2117185e3eb

TRANSACTION RECORD
----------------
Date | Particulars | Ref No. | Withdrawals | Deposits | Closing Balance
2024-01-30 | whole | 707678 |  |  | 

For any queries, please contact your branch",bank,passbook details
"**BANK OF BARODA - FIXED DEPOSIT APPLICATION**
Form Number: 403576

PERSONAL INFORMATION
-----------------
Customer Name: 
Customer ID: 
PAN: K9678
Mobile Number: 975-872-8417x9063
Email ID: robinsonsheila@example.net
Category: 

DEPOSIT DETAILS
-------------
Scheme Selected: 
Deposit Amount: 187079
Period: 
Interest Rate: 6.594416652265837
Interest Payout: Quarterly

FUNDING INFORMATION
----------------
Source Account: ZKSW78297533132913
Branch: 
Mode of Funding: 

MATURITY INSTRUCTIONS
------------------
Maturity Action: 
Renewal Instructions: 
Credit Account: ZBPH28209815429316

NOMINATION
---------
Nominee Name: Kim Haas
Relationship: 
Date of Birth: 1983-06-01
Guardian Name:",bank,fixed deposit details
"**STATE BANK OF INDIA - ACCOUNT CLOSURE REQUEST**
Reference Number: 703006eb-90ec-4c03-924e-8bf31268b619
Date: 

ACCOUNT HOLDER DETAILS
--------------------
Name: 
Customer ID: 
Mobile Number: 995-669-2338
Email ID: rhodesmark@example.com

ACCOUNT DETAILS
-------------
Account Number: AXVI65365285783638
Account Type: Savings
Branch Name: West Joseph
IFSC Code: 

CLOSURE DETAILS
-------------
Reason for Closure: Account No Longer Needed
Mode of Balance Settlement: Cash  # Cash/Transfer/DD
Settlement Account Details (if applicable):
    Bank Name: Collins, Jones and Torres
    Account Number: OJYD10290644000663
    IFSC Code: 23117466630

LINKED SERVICES
-------------
Debit Card Number: 8117845065976117
Internet Banking: Inactive  # Active/Inactive
Mobile Banking: Active  # Active/Inactive
Standing Instructions: No  # Yes/No

DECLARATION
----------
Outstanding Charges: No  # Yes/No
Unused Cheque Leaves: 2",bank,account closure details
"**KOTAK MAHINDRA BANK - KYC FORM**
Application ID: 

CUSTOMER INFORMATION
-----------------
Full Name: 
Date of Birth: 1983-12-10
Place of Birth: 
Mother's Name: Rachel Miller
Father's Name: 

IDENTITY DETAILS
--------------
PAN Number: X1070
Aadhaar Number: 608361749382
Voter ID: Z7589347514
Driving License: K1391984772

CONTACT & ADDRESS
---------------
Mobile Number: 583.744.0818x2795
Email ID: pennypearson@example.org
Current Address: PSC 5737, Box 7605
APO AP 69169
Permanent Address: 270 Anthony Causeway
South Kristin, GA 55775
Residence Type: Owned

OCCUPATION DETAILS
----------------
Occupation: Employed
Employer/Business: Holmes, Murray and Brennan
Work Address: 
Annual Income: 

FATCA/CRS DETAILS
---------------
Tax Residency: 
FATCA Status: 
CRS Declaration:",bank,kyc details
"**ICICI BANK - DEBIT CARD APPLICATION**
Reference Number: 

ACCOUNT DETAILS
-------------
Primary Account Holder: 
Account Number: AGFO39448903933702
Account Type: Savings
Customer ID: 
Branch: 

PERSONAL INFORMATION
------------------
Date of Birth: 1957-03-21
PAN Card Number: N4781
Aadhaar Number: 43465097892
Mobile Number: 951-865-4346
Email ID: cardenassusan@example.com

CARD REQUIREMENTS
---------------
Card Variant: Platinum  # Coral/Sapphiro/Expression
Card Network:   # Visa/Mastercard/RuPay
International Transactions: Yes
Daily Transaction Limits:
    ATM: 6821
    POS: 48509
    E-commerce: 40309",bank,debit card details
"**PUNJAB NATIONAL BANK - CREDIT CARD APPLICATION**
Application Number: 
Branch Name: Hansonfurt

APPLICANT DETAILS
----------------
Full Name: 
Father's/Spouse Name: 
Date of Birth: 2001-05-24
Gender: 
Nationality: 

IDENTIFICATION & DOCUMENTS
------------------------
PAN Number: Q9630
Aadhaar Number: 2309012634
Form 60 (If no PAN):   # Yes/No

CONTACT INFORMATION
-----------------
Mobile Number: 9509956871
Residence Phone: 
Email Address: phillipphillips@example.net
Current Address: 89180 Brian Parkway
New Stephanie, GA 10637
City: Port Madison
State: North Carolina
PIN Code: 52664

EMPLOYMENT DETAILS
----------------
Occupation: Business  # Service/Business/Self-Employed/Others
Employer Name: 
Office Address: 
Annual Income: 470528

BANKING DETAILS
-------------
PNB Account Number: ZCEI91435100374888
Account Type: Savings
Customer ID: 

CARD DETAILS
-----------
Card Type: Signature  # Premium/Gold/Platinum",bank,credit card details
"**STATE BANK OF INDIA - KYC FORM**
Reference Number: 999b8fa1-e255-4280-82dc-b8c0e80ca563
Date: 

PERSONAL INFORMATION
------------------
Customer Name: Dennis Johnson
Father's/Spouse Name: Daniel Miller
Mother's Name: Jeffrey Hamilton
Date of Birth: 1980-01-15
Gender: Male
Marital Status: Single
Nationality: Poland

IDENTITY DOCUMENTS
----------------
PAN Number: E7696
Aadhaar Number: 895346411750
Passport Number: E574962
Driving License: Y2839315981
Voter ID: E1919401050

CONTACT DETAILS
-------------
Mobile Number: (214)415-1061x91213
Landline: (599)379-2120
Email ID: omoreno@example.com

ADDRESS DETAILS
-------------
Current Address: 5211 Barbara Ramp
Karenfurt, MT 08086
Permanent Address: 660 Michael Stream Apt. 650
Barnetttown, PA 40002
City: Jacobtown
State: Idaho
PIN Code: 62551
Residence Type: Owned  # Owned/Rented/Leased

OCCUPATION DETAILS
----------------
Occupation Type: Employed
Annual Income Range: 5-10 Lakh
Source of Income: Other
Employer/Business Name: Mendez Inc

ACCOUNT DETAILS
-------------
Account Type: Savings
Account Number: 2932177046
Branch Code: 18871",bank,kyc details
