text,label
"invoice_no: 40378170
invoice_date: 10/15/2012
seller: Patel, Thompson and Montgomery 356 Kyle Vista New James, MA 46228
client: Jackson, Odonnell and Jackson 267 John Track Suite 841 Jenniferville, PA 98601
seller_tax_id: 958-74-3511
client_tax_id: 998-87-7723
iban: GB77WRBQ31965128414006",receipt
"invoice_no: 61356291
invoice_date: 09/06/2012
seller: Chapman, Kim and Green 64731 James Branch Smithmouth, NC 26872
client: Rodriguez-Stevens 2280 Angela Plain Hortonshire, MS 93248
seller_tax_id: 949-84-9105
client_tax_id: 939-98-8477
iban: GB50ACIE59715038217063",receipt
"invoice_no: 39280409
invoice_date: 07/06/2014
seller: Davis PLC 72057 Castillo Via Deniseshire, KY 95233
client: Bailey-Harris 106 Michael Street North William, DC 96680
seller_tax_id: 938-79-9168
client_tax_id: 965-83-8071
iban: GB39WJ0U70698169375316",receipt
"invoice_no: 27301261
invoice_date: 10/09/2012
seller: Williams LLC 72074 Taylor Plains Suite 342 West Alexandria, AR 97978
client: Hernandez-Anderson 084 Carter Lane Apt. 846 South Ronaldbury, AZ 91030
seller_tax_id: 922-88-2832
client_tax_id: 959-74-5868
iban: GB70FTNR64199348221780",receipt
"invoice_no: 10823698
invoice_date: 09/26/2020
seller: Hernandez Ltd 668 Marie Isle New Kimberg, AR 92381
client: Huerta-Cortez 22697 Hamilton Ranch New Samanthaton, AR 01797
seller_tax_id: 992-82-2992
client_tax_id: 934-82-8445
iban: GB18PQY,80406485504853",receipt
"invoice_no: 63665479
invoice_date: 02/12/2017
seller: Lowery LLC 90317 Michael Flats Suite 502 East Lisaville, DC 67918
client: Carrillo-Montoya 089 Adam Knolls Apt. 628 Andreaside, UT 62682
seller_tax_id: 974-85-9317
client_tax_id: 918-91-3132
iban: GB08JPBK40228601332306",receipt
"invoice_no: 70123184
invoice_date: 01/28/2016
seller: Kelly, Hernandez and Vaughan 63133 Sean Forge Ericland, WY 91359
client: Cooley Ltd 36837 Seth Lane Kevinview, NC29771
seller_tax_id: 972-72-8665
client_tax_id: 979-84-9816
iban: GB39CXVC62576925140756",receipt
"invoice_no: 99763738
invoice_date: 06/14/2017
seller: Wheeler-Dawson 66055 Tammy Loaf Apt. 344 South Adamberg, AR 08257
client: Franklin, Alexander and Ford 98812 Lynch Underpass Suite 322 Lake Erica, LA 35312
seller_tax_id: 928-86-2361
client_tax_id: 962-81-9802
iban: GB85ROPU13395160617712",receipt
"invoice_no: 65507091
invoice_date: 07/30/2014
seller: Pacheco, Simmons and Coleman 241 Heidi Vista Apt. 333 Odomville, DC 06454
client: Hensley LLC 875 Jessica Course Apt. 269 North Kari, LA 34931
seller_tax_id: 989-80-0526
client_tax_id: 994-77-3638
iban: GB37LLXC27152919375463",receipt
"invoice_no: 28590433
invoice_date: 09/27/2016
seller: White Group 14292 Leslie Ford Evansview, OK43757
client: Hoffman Inc 1478 Carr Lane Port George, ND 31020
seller_tax_id: 903-72-1646
client_tax_id: 946-97-0364
iban: GB53YNMK12475568368604",receipt
"invoice_no: 58805260
invoice_date: 03/07/2019
seller: Murray-Parsons 98850 Fisher Pines Apt. 122 New Jeffreyland, WI 22568
client: James, Johnson and Martin 57002 James Glens Elizabethfort, NV 49326
seller_tax_id: 932-94-1632
client_tax_id: 967-90-8360
iban: GB85ETWV11072777524235",receipt
"invoice_no: 11489615
invoice_date: 07/06/2016
seller: Jones-Flores 4168 Jason Stravenue Suite 306 Lorimouth, MO 13585
client: Fields and Sons 138 Taylor Shores Port Mary, WY 68962
seller_tax_id: 947-77-6915
client_tax_id: 966-90-1539
iban: GB59PHFD29780408588438",receipt
"invoice_no: 19537372
invoice_date: 07/28/2012
seller: Richardson LLC 97614 Timothy Plaza Mooreview, FL 34546
client: Rodriguez Ltd 50515 Jones Key Suite 674 South Cameron, MO 61064
seller_tax_id: 926-86-4853
client_tax_id: 979-85-9143
iban: GB98XJGI18168385269805",receipt
"invoice_no: 81163184
invoice_date: 10/23/2017
seller: Harrison-Melton 3468 Kevin Court Jenniferborough, ID 77615
client: Hoffman-Daniel 916 James Parks Suite 518 Bryanfurt, CO 16408
seller_tax_id: 976-74-0770
client_tax_id: 905-92-1060
iban: GB43ZKS692151910229248",receipt
"invoice_no: 46301857
invoice_date: 04/08/2017
seller: Murphy-Sanders USNV Miller FPO AA 82012
client: Parker, Graham and Swanson 607 Pearson Plaza New Jeffrey, NJ 42303
seller_tax_id: 917-83-2356
client_tax_id: 900-94-4030
iban: GB24OZUP84517588674217",receipt
"invoice_no: 41389063
invoice_date: 03/17/2021
seller: Carpenter, Robinson and Jackson 7554 Acevedo Expressway Apt. 124 Shawnfort, KY 01851
client: Davis, Li and Coleman 07244 Henry View Thompsonchester, WA 44629
seller_tax_id: 940-95-2437
client_tax_id: 905-83-5704
iban: GB47PCJH31839415874046",receipt
"invoice_no: 27139567
invoice_date: 07/14/2017
seller: Vargas, Miller and Miller 0714 Michele Springs Mendozabury, HI 51398
client: Morris, Gentry and Nguyen 8616 Flores Vista Markstad, PA 32021
seller_tax_id: 944-92-8947
client_tax_id: 911-97-8391
iban: GB35P5XP39372964652593",receipt
"invoice_no: 69941787
invoice_date: 03/03/2012
seller: Hanson PLC 2433 Johnston Lights Suite 326 West Robertfort, IN 78530
client: Nelson-Chandler 6461 Kendra Ridge Apt. 731 West Katherine, MA 65969
seller_tax_id: 967-73-9122
client_tax_id: 916-82-5080
iban: GB45AEPQ19169532888745",receipt
"invoice_no: 46405643
invoice_date: 05/16/2018
seller: Wilson Inc 52843 Tyler Track Suite 591 Lanemouth, ID 13638
client: Burke-Nelson 9539 Jennifer Pass Apt. 228 Erikfort, GA 55885
seller_tax_id: 953-81-6559
client_tax_id: 937-71-9555
iban: GB93QVUL88882887593544",receipt
"invoice_no: 88273503
invoice_date: 01/17/2021
seller: Clark and Sons 678 Sonya Shores Port Christophershire, ND 03997
client: Rodriguez-yennings PSC 1100, Box 6819 APO AP 69267
seller_tax_id: 983-90-0612
client_tax_id: 941-79-6390
iban: GB58KHJM79703180709994",receipt
"invoice_no: 59482422
invoice_date: 02/22/2016
seller: Avila-Espinoza 64814 Griffin Corners Apt. 910 South Jaymouth, MO 07341
client: Davis, Miller and Mcfarland 3052 Mark Spur Apt. 334 New Alan, OH 75150
seller_tax_id: 962-83-8261
client_tax_id: 929-85-7651
iban: GB18TPJX08067082776061",receipt
"invoice_no: 39390025
invoice_date: 01/17/2019
seller: Miller PLC 691 Kelly Plains Apt. 961 South Cameronstad, PA 14821
client: Sullivan-Sanchez 1347 Brittany Ports Suite 584 Rileyfurt, PA 92987
seller_tax_id: 980-70-7712
client_tax_id: 926-72-9536
iban: GB17PTYU85780573798109",receipt
"invoice_no: 41925448
invoice_date: 08/19/2019
seller: Keith LLC 02821 Baker Vista Hunttown, AL 18759
client: Wang Ltd 506 Dale Prairie South Charlottechester, SD 50411
seller_tax_id: 997-80-1346
client_tax_id: 957-76-0587
iban: GB69ONMU18243705319443",receipt
"invoice_no: 53737787
invoice_date: 12/08/2011
seller: Levy-Vargas 7333 Noble Hill Suite 584 West Valeriechester, AZ 99439
client: Kelly-Herring 8621 Maria Fords North Miguel, KS 38601
seller_tax_id: 908-76-0702
client_tax_id: 910-72-9133
iban: GB71DP5417716092625",receipt
"invoice_no: 19961329
invoice_date: 02/24/2015
seller: Martin Group 065 Anthony Prairie Morganfurt, AR 58377
client: Cox-Hall 084 Trevor Motorway West Elizabethbury, MO 57836
seller_tax_id: 935-96-4412
client_tax_id: 926-74-0828
iban: GB89ANAY72028493089829",receipt
"invoice_no: 75499908
invoice_date: 11/15/2017
seller: Salazar PLC 97182 Shannon Overpass Suite 556 Joseshire, IL 91853
client: Daniel LLC 6265 Patrick Burgs Suite 561 West Angel, NJ 72443
seller_tax_id: 906-86-8437
client_tax_id: 969-85-2885
iban: GB96ENFL31227940085712",receipt
"invoice_no: 30386285
invoice_date: 09/28/2020
seller: Wagner-Weaver 96030 Berry Walks Apt. 416 Port Lancefurt, NV 06191
client: Rodriguez and Sons 126 Deanna Stravenue East Jared, OR 03244
seller_tax_id: 919-90-5010
client_tax_id: 968-77-8015
iban: GB85QCAY53709612387596",receipt
